,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
278,B345,B,0.8,Ethan Allen Playground,Jointly Operated Playground,2.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,429,Ethan Allen Playground,23,7948725.3538,15421,4003,8657,2760,3487,1767,992,6248,2047,11439,94,202,13,1102,524,3203
279,B346,B,1.06,Ericsson Playground,Jointly Operated Playground,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,426,Ericsson Playground,35,12206087.7507,24298,2574,18910,2817,2912,3232,5576,11714,20531,274,56,1737,14,944,745,2576
280,B347,B,0.964,Carver Playground,Jointly Operated Playground,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,214,Carver Playground,44,14047032.2915,29195,8376,17582,3236,4945,3375,2651,10975,1629,24341,176,390,7,1540,1113,4257
281,B348,B,0.907,Willoughby Playground,Jointly Operated Playground,2.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1774,Willoughby Playground,39,13262982.1263,34773,10163,21183,3428,6451,3344,2567,12363,7590,18033,325,865,36,6190,1730,13485
282,B349,B,1.157,Bath Playground,Jointly Operated Playground,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,97,Bath Playground,23,10877574.7281,21992,4712,13036,4246,2933,2473,2205,7615,10631,197,47,9739,10,966,401,2003
283,B350,B,1.194,Stroud Playground,Jointly Operated Playground,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1607,Stroud Playground,39,13402207.8736,31452,5602,22512,3339,4089,3309,6532,13926,12370,13335,107,2523,24,1333,1760,3767
284,B351,B,2.391,Kosciuszko Pool,Buildings/Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786,Kosciuszko Pool,43,13372098.4796,33289,8559,21418,3313,5860,3769,3250,12880,6729,19352,250,1118,48,4212,1574,9250
285,B352,B,1.003,Curtis Playground,Playground,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,322,Curtis Playground,21,11494232.1338,14177,3351,8774,2053,1249,1486,2009,4744,783,12528,36,222,1,277,328,820
286,B353,B,0.927,Bergen Beach Playground,Jointly Operated Playground,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,129,Bergen Beach Playground,14,10341829.0095,10273,2420,6091,1759,668,953,2130,3755,7795,1415,25,561,1,252,222,777
287,B356,B,0.155,North Pacific Playground,Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,997,North Pacific Playground,33,11056736.7809,20877,3706,14880,2286,2673,1802,4585,9056,11774,4175,92,1934,9,1698,1198,4877
